cell,n,ks_D,ks_p,powered,leak_sized
other | 45-59,80,0.15362337934035697,0.040952659391727986,False,False
made_FT | 0-4,166,0.15055160551994373,0.0009480786110713907,False,False
other | 5-9,64,0.1468635784231902,0.1141875205968852,False,False
other | 10-19,104,0.14349841923663242,0.024805579702980918,False,False
other | 0-4,72,0.13667175344732696,0.12353245560251125,False,False
TOV | 0-4,180,0.1263736710078357,0.0057751001200394,False,False
other | 20-29,79,0.11048750888297393,0.2693904879965554,False,False
made_FG | 0-4,173,0.10599057081341812,0.03802868498778633,False,False
made_FG | 20-29,1533,0.09493379982982653,1.7807258960787138e-12,True,True
TOV | 10-19,639,0.08813640263591216,9.078448360244493e-05,True,True
other | 150-299,461,0.0871748628010367,0.0016946438162208767,True,True
other | 90-149,187,0.0829346952228961,0.1442944264247712,False,False
made_FG | 5-9,444,0.08062846593142725,0.005863469238664514,True,True
other | 60-89,90,0.07799070564945759,0.6159576281522926,False,False
made_FG | 10-19,1208,0.07599649413316445,1.630664998307206e-06,True,True
other | 300+,2195,0.0711481746187883,4.1629617778798886e-10,True,True
made_FT | 20-29,1403,0.07005800528275702,1.967598323617206e-06,True,True
DREB | 0-4,304,0.06821678863490577,0.11273006476948055,True,True
TOV | 20-29,810,0.0680413609030931,0.001051075302113371,True,True
made_FT | 5-9,461,0.06783844993073718,0.02739135975954976,True,True
DREB | 10-19,1513,0.06337794105125882,9.999601948012594e-06,True,True
DREB | 5-9,591,0.06211882195721541,0.02000949408606109,True,True
DREB | 20-29,1864,0.0571786605500505,9.725642559724051e-06,True,True
made_FT | 10-19,1430,0.056596652613770004,0.00020127804664002373,True,True
made_FG | 30-44,3389,0.05627329877147569,9.060649178040006e-10,True,True
TOV | 5-9,297,0.050590086923413186,0.4189566019985649,False,False
made_FT | 45-59,1847,0.049935122684958144,0.00019253778065430937,True,False
TOV | 45-59,1733,0.044777795352203,0.0018576630349075335,True,False
made_FT | 30-44,2095,0.04219197364361016,0.0011181964825652242,True,False
other | 30-44,135,0.036257176083031584,0.9916228820188339,False,False
made_FG | 45-59,3545,0.030528715368850656,0.002642412505950367,True,False
period_start | 300+,10994,0.027583682489917827,1.0624508164228315e-07,True,False
made_FT | 90-149,4753,0.02622506384866785,0.00284320693788966,True,False
TOV | 30-44,1663,0.023590858044948648,0.3081181037702313,True,False
made_FT | 150-299,10475,0.023222269283193098,2.439244005321712e-05,True,False
made_FG | 60-89,6713,0.021388255877433343,0.004239292476927249,True,False
made_FT | 60-89,2852,0.021386342776757827,0.1450864273802409,True,False
TOV | 60-89,3104,0.020478829355655093,0.14595202422777098,True,False
TOV | 150-299,15063,0.018719501766391644,5.135514039001425e-05,True,False
DREB | 90-149,13398,0.015984452767801083,0.002103324120500126,True,False
TOV | 300+,93765,0.015775462286092945,1.0641407053103228e-20,True,False
made_FT | 300+,39628,0.015581055484551909,8.70738719817683e-09,True,False
TOV | 90-149,6188,0.014970637847224744,0.1235861029093055,True,False
DREB | 30-44,3879,0.014701695692025729,0.36794856216307426,True,False
DREB | 45-59,3602,0.013385109619538371,0.5342670913715567,True,False
DREB | 300+,190250,0.01117374857146941,4.6287459026949646e-21,True,False
DREB | 60-89,6664,0.009254567997938501,0.6145357338391565,True,False
DREB | 150-299,32519,0.008690689694283438,0.014626923730471364,True,False
made_FG | 90-149,13350,0.006464009098840262,0.6300248259275186,True,False
made_FG | 150-299,33573,0.005197068697430196,0.32361603212276313,True,False
made_FG | 300+,204402,0.004550490750064529,0.0004201046109619467,True,False
