arm,cell,n,ks_D,ks_p,powered,leak_sized
hazard,DREB | 120-299,39095,0.0268658843095027,6.022365755479365e-25,True,False
hazard,DREB | 300-599,64535,0.0480296698524204,8.168994873559115e-130,True,False
hazard,DREB | 35-119,19776,0.0395191068437845,2.8436843956287784e-27,True,False
hazard,DREB | 600+,125715,0.0641530656160936,0.0,True,True
hazard,TOV | 0-34,2984,0.0415899130085561,6.373543136590495e-05,True,False
hazard,TOV | 120-299,18055,0.0651930999014392,3.6946099292887606e-67,True,True
hazard,TOV | 300-599,30745,0.0569090451161756,5.441226034639252e-87,True,True
hazard,TOV | 35-119,9196,0.0900710915531493,2.2790953202901098e-65,True,True
hazard,TOV | 600+,63019,0.0498430615516014,1.6810055121819342e-136,True,False
hazard,made_FG | 0-34,5322,0.1314470574811168,1.2169314534121572e-80,True,True
hazard,made_FG | 120-299,40350,0.1213794679148091,0.0,True,True
hazard,made_FG | 300-599,67288,0.1271480223748388,0.0,True,True
hazard,made_FG | 35-119,19323,0.0662583300289426,3.366552373122157e-74,True,True
hazard,made_FG | 600+,137113,0.130270350221474,0.0,True,True
hazard,made_FT | 0-34,4977,0.1146032555581205,2.1180394515739316e-57,True,True
hazard,made_FT | 120-299,12683,0.115734724189352,1.8590640052963403e-148,True,True
hazard,made_FT | 300-599,16571,0.1355564856883006,4.873314428791918e-266,True,True
hazard,made_FT | 35-119,8641,0.0568404306683106,1.0442050062656735e-24,True,True
hazard,made_FT | 600+,23057,0.136705497395891,0.0,True,True
hazard,other | 0-34,422,0.0738249016706017,0.0190784408130842,True,True
hazard,other | 120-299,548,0.3111356217975879,1.2698109512900923e-47,True,True
hazard,other | 300-599,830,0.2896755418605632,3.5952993962132523e-62,True,True
hazard,other | 35-119,352,0.3552843039734658,2.915538637594674e-40,True,True
hazard,other | 600+,1365,0.3150617240009059,6.219119406394746e-121,True,True
hazard,period_start | 300-599,356,0.1759850969967737,4.0921646342244894e-10,True,True
hazard,period_start | 600+,10637,0.15373511122969,5.444629498633059e-220,True,True
lgbm_quantile,DREB | 0-34,6552,0.033666768805726,6.908863552960745e-07,True,False
lgbm_quantile,DREB | 120-299,39095,0.0431935940006137,8.10140147580919e-64,True,False
lgbm_quantile,DREB | 300-599,64535,0.0408121239520644,7.746376566933913e-94,True,False
lgbm_quantile,DREB | 35-119,19776,0.0417562833186577,2.1265832476286082e-30,True,False
lgbm_quantile,DREB | 600+,125715,0.0397636531436625,3.7684979955914685e-173,True,False
lgbm_quantile,TOV | 0-34,2984,0.0256178564908696,0.0391299180795983,True,False
lgbm_quantile,TOV | 120-299,18055,0.0429304168582977,2.3667955458110177e-29,True,False
lgbm_quantile,TOV | 300-599,30745,0.0399461088141069,4.592718626405346e-43,True,False
lgbm_quantile,TOV | 35-119,9196,0.0399875674793065,3.2590114057318066e-13,True,False
lgbm_quantile,TOV | 600+,63019,0.0417992079465701,4.130272220086399e-96,True,False
lgbm_quantile,made_FG | 0-34,5322,0.0321697074896361,3.2129035757588666e-05,True,False
lgbm_quantile,made_FG | 120-299,40350,0.0456859228114876,1.2671520818765744e-73,True,False
lgbm_quantile,made_FG | 300-599,67288,0.0462716254020527,1.2378564056762568e-125,True,False
lgbm_quantile,made_FG | 35-119,19323,0.0453965748267022,4.826749486092175e-35,True,False
lgbm_quantile,made_FG | 600+,137113,0.0456571960372969,8.135918733599042e-249,True,False
lgbm_quantile,made_FT | 0-34,4977,0.0428760893913354,2.180461902037454e-08,True,False
lgbm_quantile,made_FT | 120-299,12683,0.0463374268653354,4.1972394003428216e-24,True,False
lgbm_quantile,made_FT | 300-599,16571,0.0467354749396985,6.83172352421721e-32,True,False
lgbm_quantile,made_FT | 35-119,8641,0.0480310048641191,9.19824812499499e-18,True,False
lgbm_quantile,made_FT | 600+,23057,0.0477908468253412,3.336454244064664e-46,True,False
lgbm_quantile,other | 0-34,422,0.1616435421513132,4.2195716364236417e-10,True,True
lgbm_quantile,other | 120-299,548,0.083941605839416,0.0008296151123908,True,True
lgbm_quantile,other | 300-599,830,0.072685849728484,0.0002935326489324,True,True
lgbm_quantile,other | 35-119,352,0.1790549600810703,2.4076147764431424e-10,True,True
lgbm_quantile,other | 600+,1365,0.0717948717948717,1.455078241815095e-06,True,True
lgbm_quantile,period_start | 300-599,356,0.1407126989969575,1.3006356644496272e-06,True,True
lgbm_quantile,period_start | 600+,10637,0.044646905571677,7.301766828601625e-19,True,False
two_regime,DREB | 0-34,6552,0.007975064117564379,0.7957484160771422,True,False
two_regime,DREB | 120-299,39095,0.04471767520274772,2.2618981801682074e-68,True,False
two_regime,DREB | 300-599,64535,0.04224584634113171,1.616247862296054e-100,True,False
two_regime,DREB | 35-119,19776,0.036664152526282634,1.5599913511688418e-23,True,False
two_regime,DREB | 600+,125715,0.04191407102118727,2.4112802002179636e-192,True,False
two_regime,TOV | 0-34,2984,0.025995863519298723,0.034819369307164116,True,False
two_regime,TOV | 120-299,18055,0.043340494156685394,6.588433567093701e-30,True,False
two_regime,TOV | 300-599,30745,0.041895306755035944,2.5019445370478577e-47,True,False
two_regime,TOV | 35-119,9196,0.03429960999364545,7.794934984994975e-10,True,False
two_regime,TOV | 600+,63019,0.04269569070085355,2.925248816482101e-100,True,False
two_regime,made_FG | 0-34,5322,0.024147010448076878,0.003966853383813225,True,False
two_regime,made_FG | 120-299,40350,0.04615348364895466,3.947555934068614e-75,True,False
two_regime,made_FG | 300-599,67288,0.04696832539210105,1.9595828874836902e-129,True,False
two_regime,made_FG | 35-119,19323,0.038768336515216384,1.1375231330616205e-25,True,False
two_regime,made_FG | 600+,137113,0.04617146927818294,1.9086710330926554e-254,True,False
two_regime,made_FT | 0-34,4977,0.007989574578829983,0.9058705616662024,True,False
two_regime,made_FT | 120-299,12683,0.04678231934024235,1.46559952777815e-24,True,False
two_regime,made_FT | 300-599,16571,0.04883950673192872,8.641866429615665e-35,True,False
two_regime,made_FT | 35-119,8641,0.04080597155977972,6.128120137693646e-13,True,False
two_regime,made_FT | 600+,23057,0.04784641943903778,2.6104877077882656e-46,True,False
two_regime,other | 0-34,422,0.07550023971388375,0.015423297921805568,True,True
two_regime,other | 120-299,548,0.07846715328467158,0.0022118011123727914,True,True
two_regime,other | 300-599,830,0.07108433734939756,0.00043097706028741046,True,True
two_regime,other | 35-119,352,0.12920157053176062,1.3925132666378342e-05,True,True
two_regime,other | 600+,1365,0.08683953871705075,2.095714016497728e-09,True,True
two_regime,period_start | 300-599,356,0.09226065776047715,0.00435345638242895,True,True
two_regime,period_start | 600+,10637,0.04531446738559053,2.0318385694570897e-19,True,False
