cell,n,ks_D,ks_p,powered,leak_sized
made_FG | 30-44,3389,0.16648984113840093,1.4225722996552938e-82,True,True
other | 5-9,64,0.15993043995039014,0.06751158041045757,False,False
other | 20-29,79,0.13649082607978877,0.09577217300909457,False,False
made_FT | 30-44,2095,0.13180204344728907,3.400572046282354e-32,True,True
made_FT | 0-4,166,0.13041345235611068,0.006379586359353175,False,False
made_FT | 45-59,1847,0.12002655437601467,1.2090613464773367e-23,True,True
made_FG | 20-29,1533,0.11339679499492317,1.2564997730178786e-17,True,True
other | 45-59,80,0.10466573987784811,0.3220705774669589,False,False
made_FT | 20-29,1403,0.10396839792606866,1.1705883094902865e-13,True,True
TOV | 0-4,180,0.10006186986298082,0.05070245644387905,False,False
TOV | 20-29,810,0.09850253192376146,2.710671480549834e-07,True,True
DREB | 20-29,1864,0.0941129220886241,8.067676116946776e-15,True,True
DREB | 30-44,3879,0.0916512867359427,8.343928057137592e-29,True,True
TOV | 30-44,1663,0.08980901144558062,4.02721932236663e-12,True,True
other | 150-299,461,0.0871748628010367,0.0016946438162208767,True,True
other | 90-149,187,0.0829346952228961,0.1442944264247712,False,False
other | 60-89,90,0.07799070564945759,0.6159576281522926,False,False
other | 30-44,135,0.07752113564324614,0.3726512134374519,False,False
TOV | 45-59,1733,0.0714792914347459,3.816830604864594e-08,True,True
other | 300+,2195,0.0711481746187883,4.1629617778798886e-10,True,True
TOV | 10-19,639,0.06572988669552715,0.007630456919882703,True,True
made_FG | 0-4,173,0.06546070052273717,0.4304820259809182,False,False
made_FG | 45-59,3545,0.06106509044995506,6.202162257153006e-12,True,True
TOV | 5-9,297,0.05870472130920712,0.2478318080162315,False,False
other | 0-4,72,0.04721741126239076,0.9948312346531368,False,False
DREB | 5-9,591,0.046414405430130035,0.15184666220132992,True,False
made_FT | 5-9,461,0.04573194065622757,0.2812862584031155,True,False
DREB | 0-4,304,0.043565957741562245,0.5954117201138858,True,False
made_FG | 5-9,444,0.041547848670721144,0.41623062215803786,True,False
other | 10-19,104,0.040508016807411784,0.993040959709744,False,False
DREB | 45-59,3602,0.03402077309348828,0.0004670027532381688,True,False
DREB | 10-19,1513,0.031999255161588636,0.08830079948689262,True,False
period_start | 300+,10994,0.027583682489917827,1.0624508164228315e-07,True,False
made_FT | 10-19,1430,0.026424083976635676,0.2661267357149881,True,False
made_FT | 90-149,4753,0.02622506384866785,0.00284320693788966,True,False
made_FG | 10-19,1208,0.02564383404487769,0.39821427265929077,True,False
made_FT | 150-299,10475,0.023222269283193098,2.439244005321712e-05,True,False
made_FG | 60-89,6713,0.021388255877433343,0.004239292476927249,True,False
made_FT | 60-89,2852,0.021386342776757827,0.1450864273802409,True,False
TOV | 60-89,3104,0.020478829355655093,0.14595202422777098,True,False
TOV | 150-299,15063,0.018719501766391644,5.135514039001425e-05,True,False
DREB | 90-149,13398,0.015984452767801083,0.002103324120500126,True,False
TOV | 300+,93765,0.015775462286092945,1.0641407053103228e-20,True,False
made_FT | 300+,39628,0.015581055484551909,8.70738719817683e-09,True,False
TOV | 90-149,6188,0.014970637847224744,0.1235861029093055,True,False
DREB | 300+,190250,0.01117374857146941,4.6287459026949646e-21,True,False
DREB | 60-89,6664,0.009254567997938501,0.6145357338391565,True,False
DREB | 150-299,32519,0.008690689694283438,0.014626923730471364,True,False
made_FG | 90-149,13350,0.006464009098840262,0.6300248259275186,True,False
made_FG | 150-299,33573,0.005197068697430196,0.32361603212276313,True,False
made_FG | 300+,204402,0.004550490750064529,0.0004201046109619467,True,False
