cell,n,ks_D,ks_p,powered,leak_sized
made_FT | 0-4,166,0.16392376704199818,0.00022939151632919594,False,False
other | 45-59,80,0.15362337934035697,0.040952659391727986,False,False
other | 5-9,64,0.1468635784231902,0.1141875205968852,False,False
other | 10-19,104,0.14349841923663242,0.024805579702980918,False,False
other | 0-4,72,0.13667175344732696,0.12353245560251125,False,False
made_FT | 5-9,461,0.1270118415290563,6.085428605643475e-07,True,True
TOV | 0-4,180,0.12106995034634271,0.009320874560018818,False,False
other | 20-29,79,0.11048750888297393,0.2693904879965554,False,False
made_FG | 0-4,173,0.0923200856423333,0.0983329463689856,False,False
other | 150-299,461,0.0871748628010367,0.0016946438162208767,True,True
other | 90-149,187,0.0829346952228961,0.1442944264247712,False,False
TOV | 10-19,639,0.0803265980478387,0.0004927003240667615,True,True
made_FG | 10-19,1208,0.07871825538672028,5.869958832728642e-07,True,True
other | 60-89,90,0.07799070564945759,0.6159576281522926,False,False
made_FG | 20-29,1533,0.07429158059167623,8.363481089199161e-08,True,True
TOV | 5-9,297,0.07165699865029751,0.09017542510060628,False,False
other | 300+,2195,0.06945155208723364,1.1902842781645054e-09,True,True
TOV | 20-29,810,0.06791855004323755,0.0010800355721461421,True,True
made_FT | 20-29,1403,0.06028957921984035,7.098321027965005e-05,True,True
DREB | 5-9,591,0.05950181847492375,0.029213845448127107,True,True
DREB | 0-4,304,0.05945600955182295,0.2237315742653886,True,True
DREB | 20-29,1864,0.05397412771994825,3.6835615290349834e-05,True,True
made_FT | 10-19,1430,0.05393374880868029,0.0004683760490345661,True,True
DREB | 10-19,1513,0.05172723577563987,0.0005862971937088137,True,True
TOV | 45-59,1733,0.04789343323309103,0.0006809072813482778,True,False
made_FT | 45-59,1847,0.04691870937403719,0.000568221954761054,True,False
made_FG | 30-44,3389,0.04659710123313843,7.822560116734666e-07,True,False
made_FG | 5-9,444,0.04420187343643345,0.34089064352358234,True,False
made_FT | 30-44,2095,0.03840938364385338,0.004024848825466158,True,False
other | 30-44,135,0.036257176083031584,0.9916228820188339,False,False
made_FG | 45-59,3545,0.0285704878773283,0.006012194647657337,True,False
period_start | 300+,10994,0.027909345420743192,7.138127727180366e-08,True,False
made_FT | 90-149,4753,0.024224265472485962,0.007433671016439352,True,False
made_FT | 150-299,10475,0.021690928707335383,0.00010317990178835004,True,False
TOV | 60-89,3104,0.021412469998218386,0.11443682197054517,True,False
TOV | 150-299,15063,0.020207645943629227,8.956044451704287e-06,True,False
TOV | 30-44,1663,0.02009760217047668,0.5062175001423226,True,False
made_FT | 60-89,2852,0.01740257768637854,0.3494755328210484,True,False
DREB | 90-149,13398,0.016630512795214242,0.0011953107901222294,True,False
made_FG | 60-89,6713,0.01655226376659147,0.04996526411698521,True,False
TOV | 300+,93765,0.01572397959941013,1.442456622799032e-20,True,False
TOV | 90-149,6188,0.015567996379097226,0.09858028916215267,True,False
DREB | 45-59,3602,0.01520416746206854,0.3719952589395893,True,False
made_FT | 300+,39628,0.015081676555860568,2.9318485102650772e-08,True,False
DREB | 300+,190250,0.011137306805559105,6.307214655504022e-21,True,False
DREB | 30-44,3879,0.01004306353859652,0.8249655447085846,True,False
DREB | 60-89,6664,0.00801062877450176,0.7827207950751881,True,False
DREB | 150-299,32519,0.00662599303779654,0.1145343270188931,True,False
made_FG | 90-149,13350,0.006302583222157543,0.6614749229721439,True,False
made_FG | 150-299,33573,0.0057209797099595505,0.22097944292493166,True,False
made_FG | 300+,204402,0.004417997105022442,0.0006829109469505104,True,False
